num_moves_to_randomize,num_moves_to_solve,num_nodes_created_to_solve,num_nodes_visited_to_solve,wall_time_to_solve,solve_sequence
20,10,1066487808,1066487720,202627,Front-C;Down-CC;Left-C;Back-CC;Right-CC;Down-CC;Front-C;Right-CC;Back-CC;Left-C;
21,9,77776631,77776545,14817,Front-C;Left-C;Front-C;Front-C;Right-CC;Up-C;Left-C;Front-C;Left-C;
21,9,147764459,147764377,28201,Left-C;Left-C;Front-C;Right-CC;Down-CC;Front-C;Left-C;Back-CC;Left-C;
21,11,8223990745,8223990646,1581068,Front-C;Left-C;Back-CC;Down-CC;Left-C;Up-C;Up-C;Left-C;Left-C;Front-C;Front-C;
21,11,15796341625,15796341528,3031438,Back-CC;Left-C;Back-CC;Left-C;Down-CC;Front-C;Front-C;Down-CC;Left-C;Left-C;Up-C;
21,11,17836515169,17836515075,3406284,Back-CC;Up-C;Right-CC;Up-C;Left-C;Left-C;Front-C;Right-CC;Back-CC;Up-C;Right-CC;
21,11,9358134409,9358134318,1788017,Front-C;Left-C;Up-C;Right-CC;Up-C;Right-CC;Back-CC;Down-CC;Left-C;Back-CC;Down-CC;
21,9,228596339,228596265,43362,Up-C;Up-C;Left-C;Down-CC;Back-CC;Right-CC;Front-C;Down-CC;Back-CC;
21,5,7375,7324,4,Left-C;Front-C;Front-C;Left-C;Front-C;
21,11,9080376997,9080376897,1732632,Front-C;Left-C;Down-CC;Front-C;Front-C;Up-C;Back-CC;Up-C;Back-CC;Right-CC;Back-CC;
21,11,15968852509,15968852424,3072278,Back-CC;Right-CC;Up-C;Up-C;Right-CC;Down-CC;Back-CC;Up-C;Up-C;Right-CC;Up-C;
22,10,657204780,657204696,125414,Front-C;Left-C;Back-CC;Left-C;Up-C;Up-C;Left-C;Down-CC;Left-C;Up-C;
22,12,121493434730,121493434619,23475156,Front-C;Down-CC;Front-C;Front-C;Left-C;Left-C;Back-CC;Left-C;Left-C;Back-CC;Up-C;Left-C;
22,10,763524708,763524618,144723,Front-C;Left-C;Front-C;Up-C;Right-CC;Back-CC;Left-C;Left-C;Back-CC;Down-CC;
22,10,617666256,617666164,117091,Front-C;Front-C;Left-C;Front-C;Down-CC;Front-C;Down-CC;Right-CC;Front-C;Right-CC;
22,10,909733716,909733625,172395,Front-C;Up-C;Left-C;Left-C;Down-CC;Front-C;Right-CC;Back-CC;Left-C;Front-C;
22,12,83477737226,83477737121,24096261,Front-C;Front-C;Left-C;Up-C;Front-C;Right-CC;Up-C;Left-C;Down-CC;Right-CC;Front-C;Up-C;
22,10,773305128,773305038,147198,Front-C;Up-C;Right-CC;Back-CC;Left-C;Down-CC;Left-C;Front-C;Front-C;Right-CC;
